餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
PBJ220洋桥银泰,	970,北京市场,北京市,391,22,387,5.63%,93.52%,236,61.14%,1,0.26%,17.9,8.2,9.6,28.4,252,1.55,187.3,5040,3.72%,16.0,0.32%,194.2,2.01,0.0052,0.0207,0.0233,2,8,9,361,391,
PBJ731望京,	2357,北京市场,北京市,915,36,902,3.93%,98.77%,723,81.05%,3,0.33%,12.7,2.0,10.8,22.8,523,1.75,0.9,5040,0.02%,0.0,0%,483.5,1.89,0.0078,0.0247,0.0123,7,22,11,881,917,
GZ2528观澜湖PH,	248,深圳市场,深圳市,190,1,190,0.53%,98.42%,95,50%,0,0%,20.6,7.4,13.2,29.8,153,1.24,2.0,4830,0.04%,0.0,0%,250.2,0.76,0.0000,0.1474,0.0211,0,28,4,187,190,
PBJ721双清路,	2380,北京市场,北京市,1576,9,1546,0.57%,95.15%,1074,69.51%,9,0.57%,14.5,3.5,11.0,26.9,797,1.98,94.6,5040,1.88%,20.1,0.4%,829.0,1.90,0.0045,0.0311,0.0091,7,48,14,1470,1576,
GYY001中海环宇城,	2680,广州市场,佛山市,115,25,113,21.74%,81.42%,43,38.05%,4,3.48%,21.9,11.2,11.2,34.7,94,1.22,276.6,5033,5.5%,2.0,0.04%,96.0,1.20,0.0000,0.0619,0.0000,0,7,0,92,115,
PSH834西溪银泰,	328,杭州市场,杭州市,700,96,688,13.71%,94.31%,260,37.9%,7,1%,21.8,8.4,13.3,32.6,397,1.76,126.3,4830,2.61%,23.1,0.48%,358.4,1.95,0.0700,0.0466,0.0073,48,32,5,647,700,
GZ2569卓悦汇PH,	684,深圳市场,深圳市,223,50,218,22.42%,90.32%,76,35.02%,3,1.35%,21.7,10.2,11.5,33.4,166,1.34,56.2,4830,1.16%,0.0,0%,207.5,1.07,0.1336,0.0968,0.0276,29,21,6,196,223,
PBJ730四季青,	2151,北京市场,北京市,1330,59,1313,4.44%,93.67%,754,57.51%,2,0.15%,13.4,3.5,9.9,28.7,733,1.81,50.8,5040,1.01%,0.0,0%,684.4,1.94,0.0015,0.0069,0.0092,2,9,12,1228,1330,
GZH717远景PHHS,	2301,广州市场,广州市,366,13,361,3.55%,94.18%,222,61.5%,0,0%,17.1,5.8,11.3,28.6,281,1.30,36.2,5040,0.72%,0.0,0%,286.2,1.28,0.0028,0.0166,0.0139,1,6,5,340,366,
PBJ274前门店PH,	296,北京市场,北京市,279,10,272,3.58%,96.32%,195,71.69%,1,0.36%,16.8,6.9,9.9,26.3,201,1.39,71.2,4620,1.54%,0.0,0%,268.6,1.04,0.0074,0.0294,0.0110,2,8,3,262,279,
